Clone,Rater,Maternal Parent,Paternal Parent,Cross,EVAL Year,EVAL Location,Rel/BRD,Mature Leaf Color,Branching,Plant Type,Climbing,Flower Habit,Savoy,Vigor,Color Uniformity,Overall App.,Comments,,Breeding
10113-087,DG,8101-004,OP CRW,8101-004xOP CRW,2019,HCRS,4,1,8,2;5,,,,6,6,7,thin lobed lime. lobe on lobe. upright tips. well branched.,,
10114-074,DG,8107-003,OP ADV,8107-003xOP ADV,2019,HCRS,11,p2,4,3;4,,0,,5,6,6,crown purple open habit. send for container,,
10116-022,DG,8231-024,OP,8231-024xOP,2019,HCRS,4,p4,6,3;4,,0,,5,7,7,very nice purple hastate. matte color vg color. graft x to 8553 send,,
10117-093,DG,8231-024,OP SCPUR,8231-024xOP SCPUR,2019,HCRS,4,p3,4,3;4,,0,,6,7,6,hastate to lobed purple good color. send for container,,
10119-049,DG,8268-007,OP,8268-007xOP,2019,HCRS,11,6,4,3;4;6,,0,,6,4,5,grown purple ebg. open habit. send for container,,
10120-094,DG,8835-001,OP,8835-001xOP,2019,HCRS,1;12;11,1,6,3;4,,0,,6,6,5,lobed line spikey lobes. some washing. okay match with red hawk,,
10121-031,DG,8849-006,OP,8849-006xOP,2019,HCRS,1;9,2,5,3;4;6,,,,7,6,5,grren il with purple red tips. lots of buds. send?,,
10121-100,DG,8849-006,OP,8849-006xOP,2019,HCRS,,,,,,,,,,,,,
10122-014,DG,8894-013,OP,8894-013xOP,2019,HCRS,7,8,6,4;6,,0,,4,0,42129,margin type. possibly half red or lime. x t other half reds in group.,,
10122-030,DG,8894-013,OP,8894-013xOP,2019,HCRS,12,p1,4,4;6,,2,,6,5,5,purple sc. trail8ng open habit. send for container. ebg,,
10123-030,DG,9128-041,OP,9128-041xOP,2019,HCRS,12;11,1,5,3;4,,0,,6,5,5,small leaved lime sc thin lobes upright tips.,,
10143-001,DG,8410-001,8736-050,8410-001x8736-050,2019,HCRS,10,11,3,3;4,,,,5,7,5,red heart with some teeth.x for bw. good coor poor branching.,,
10153-003,DG,8717-011,9234-022,8717-011x9234-022,2019,HCRS,4;10,1,5,3;4,,0,,6,5,6,yelliw line toothed and love on lobe. half red? x for bw and Medusa,,
10153-013,DG,8717-011,9234-022,8717-011x9234-022,2019,HCRS,10,6,5,3;4,,0,,6,3,5,broze red bw ebg. x for bw send?,,
10153-014,DG,8717-011,9234-022,8717-011x9234-022,2019,HCRS,10,12,4,4;6,,0,,5,5,5,bronze bw with yellow bade. send for containers. graft for red bw group,,
10163-001,DG,8736-050,6777-001,8736-050x6777-001,2019,HCRS,3;10;4,11,5,3;4,,,,5,6,6,red heart some teeth and savoy. goid color slight ebg. send,,
10171-002,DG,9045-003,8397-049,9045-003x8397-049,2019,HCRS,10,6,6,3;4,,,,6,4,5,red bw very poor color ebg. good teeth and habit. x to better red with teeth,,
10172-001,DG,9045-003,8405-034,9045-003x8405-034,2019,HCRS,10;4,12,5,3;4,,,,5,7,6,bronze bw goid color and teeth low vigor. x fo bw send? graft,,
10172-002,DG,9045-004,8405-034,9045-004x8405-034,2019,HCRS,10;4,11,6,3;5,,,,7,5,6,red w with savoy .ebg. needs more teeth. x for bw and savoy. send?,,
10179-001,DG,9387-002,9045-003,9387-002x9045-003,2019,HCRS,,,,,,,,,,,half red half lime excellent teeth,,
10183-021,DG,9412-010,8704-006,9412-010x8704-006,2019,HCRS,10,2,7,5;2,,0,,6,3,5,half f lime bewitched. excellent teeth. x into toothed reds and red hearts,,
10191-016,DG,8553-017,9644-001,8553-017x9644-001,2019,HCRS,4,p1 with green edge,5,3;4,,3,,4,0,4,margin type purp variable leaves. good color for this group.not best margin. backcross to margin,,
10192-013,DG,8967-001,9644-001,8967-001x9644-001,2019,HCRS,4,3,4,6,,,,6,2,4,half red margin type. margin reversed. purple edge green center. not good margin. x to any red w margin,,
10192-042,DG,8967-001,9644-001,8967-001x9644-001,2019,HCRS,4,6,6,4;2,,,,5,5,4,half red half margin tip var. x into any half red marguns or red margins from historic,,
10199-035,DG,8553-017,8326-001,8553-017x8326-001,2019,HCRS,6,p3,5,3;4,,0,,4;7,6,6,hastate purple irregular leaves. matte color. breeding only,,
10204-042,DG,9124-021,6749-006,9124-021x6749-006,2019,HCRS,2;4,0,5,3;4,,,,6,4,6,yelliw heart with savoy and cupped leaves. washing good plant habit. x for saviy and cups,,
10204-052,DG,9124-021,6749-006,9124-021x6749-006,2019,HCRS,4,1,6,3;4,,,,7,6,6,savoy lime with lobes. irregular lobing. x fir lobe and Savoy,,
10204-057,DG,9124-021,6749-006,9124-021x6749-006,2019,HCRS,2;4,1,5,3;4,,2,,5,5,6,line yelliw heart savoy. some eashing nice overall. graft for Savoy.r,,
10217-013,DG,8967-011,9287-001,8967-011x9287-001,2019,HCRS,1,11,7,2;5,,0,,4,4,5,very thin lobed red il. ebg. meatball. send,,
10217-014,DG,8967-011,9287-001,8967-011x9287-001,2019,HCRS,1,10,6,2;4,,0,,4,3,4,bronze il very thin lobes. ebg. meatball. send?,,
10217-072,DG,8967-011,9287-001,8967-011x9287-001,2019,HCRS,1,6,6,3;4,,0,,5,4,4,red il thin lobes. ebg. send?,,
10222-033,DG,9113-030,8967-011,9113-030x8967-011,2019,HCRS,1,11,6,3;4;6,,1,,6,6,7,nice red il.a little dark.open habit. mixed container send,,
10222-038,DG,9113-030,8967-011,9113-030x8967-011,2019,HCRS,1,11,5,3;4;6,,,,6,6,6,dark red il. slight ebg. ooen habit. graft,,
10222-042,DG,9113-030,8967-011,9113-030x8967-011,2019,HCRS,1,6,7,3;5,,0,,5,5,6,thin lobed red il upright tips send for container,,
10222-052,DG,9113-030,8967-011,9113-030x8967-011,2019,HCRS,1,10,5,3;4,,0,,6,6,6,red tweener. good color. leaf margin undulate. nice. send,,
10222-084,DG,9113-030,8967-011,9113-030x8967-011,2019,HCRS,1;12,10,6,3;4,,0,,6,4,5,red tweener compact. good color but frosted. possibly some latent variegation. shows up as color fades. send but note varigation,,
10222-178,DG,9113-030,8967-011,9113-030x8967-011,2019,HCRS,1,10,6,3;4,,0,,5,6,7,red il. vg color ebb. nice. meatball send,,
10228-009,DG,9284-028,9135-003,9284-028x9135-003,2019,HCRS,12,10,4,6;4,,0,,6,5,6,bronze red sc. big leaves vg color. send,,
10236-001,DG,9174-007,9658-002,9174-007x9658-002,2019,HCRS,4,5,6,3;5,,,,6,7,6,half lime lobe on lobe. Medusa group. upper veins.,,
10236-003,DG,9174-007,9658-002,9174-007x9658-002,2019,HCRS,,,,,,,,,,,half lime lobe on lobe. Medusa group. ,,
10238-002,DG,9174-003,9658-002,9174-003x9658-002,2019,HCRS,4,2,5,3;4;6,,,,7,6,5,green half lime lobed. medusa group. x into loe on lobe and medusa.,,
10238-004,DG,9174-003,9658-002,9174-003x9658-002,2019,HCRS,4,2,6,3;4,,,,6,7,5,half line lobe on lobe medusa group. cupping.veins upperside.,,
10238-010,DG,9174-003,9658-002,9174-003x9658-002,2019,HCRS,4,2,6,3;4;6,,,,7,8,6,green lobed on lobe 1/2 medusa. dark stems and liwer veins upperside veins on young leaves x for medusa. graft,,
10247-001,DG,6543-001,9177-001,6543-001x9177-001,2019,HCRS,6,7,5,3;4,,0,,4;10,5,7,purple bw with good savoy.color okay. ebg. well branched for this group. lobe on lobe.,,
10248-008,DG,6901-001,8544-020,6901-001x8544-020,2019,HCRS,,,,,,,,,,,,,
10248-009,DG,6901-001,8544-020,6901-001x8544-020,2019,HCRS,42098,p3,4,3;4,,3,,4,7,6,nice purple savoy. goid color okay branching leaves variable.,,
10248-023,DG,6901-001,8544-020,6901-001x8544-020,2019,HCRS,5,p3,5,3;4,,0,,4,42161,7,nice purple savoy good color and branching for this group. thinner stems,,
10248-068,DG,6901-001,8544-020,6901-001x8544-020,2019,HCRS,4,p3,4,4;6,,0,,6,6,6,dark purple heart. good color. trailing send for containers,,
10252-022,DG,7788-001,7954-002,7788-001x7954-002,2019,HCRS,4,8,5,3;4;6,,,,6,4,4,savoy purp with cupped leaves. 1/2 green ,,
10252-028,DG,7788-001,7954-002,7788-001x7954-002,2019,HCRS,4,8,6,3;4,,,,5,3,5,1/2 green purp savoy. good savoy and habit. new savoy blood. x into reds?,,
10254-001,DG,7954-002,8226-078,7954-002x8226-078,2019,HCRS,6,p1,4,3;4,,0,,4;2,5,6,purple heart savoy. good color but ebg. okay branching for this group,,
10264-004,DG,8698-005,7788-001,8698-005x7788-001,2019,HCRS,4,5,5,4;6,,,,6,6,5,green with saviy cuos and veins. good teeth. grayish cast to leaves. half lime. x into lime savoy.,,
10267-001,DG,8967-001,8213-005,8967-001x8213-005,2019,HCRS,1,11,4,3;4;6,,,,4,7,6,red il a little weak vg color. ooen habit. send for il and mc,,
10271-009,DG,9090-006,9063-012,9090-006x9063-012,2019,HCRS,,,,,,,,,,,,,
10276-019,DG,9330-008,5565-004,9330-008x5565-004,2019,HCRS,4,6,5,3;4,,0,,4,4,5,half red saviy. good branching for this group. buds. x to lime or red savoy.,,
10276-023,DG,9330-008,5565-004,9330-008x5565-004,2019,HCRS,4,6,5,3;4,,,,5,4,5,half red savoy. okay savoy. thinner branches. x to lime or red savoy,,
10278-003,DG,9346-002,5565-004,9346-002x5565-004,2019,HCRS,4,6,4,3;4,,,,4,4,4,half red Savoy. okay savoy. thinner stems. buds. x into lime or red savoy ,,
10278-005,DG,9346-002,5565-004,9346-002x5565-004,2019,HCRS,4,p2,4,3;4,,,,4,5,4,half red savoy heart. good savoy.thinner stem but poor branches. x into line or red savoy,,
10278-017,DG,9346-002,5565-004,9346-002x5565-004,2019,HCRS,4,6,4,3;4,,,,4,3,4,half red savoy heart. good savoy. thinner stem for this group. Flowers.x into lime or red savoy,,
10278-026,DG,9346-002,5565-004,9346-002x5565-004,2019,HCRS,6,p3,42129,3;4,,3,,4;2,6,7,purple Savoy good color slight ebg. thin stems and god branching for this group.,,
10285-011,DG,8059-034,8213-015,8059-034x8213-015,2019,HCRS,3;10,11,6,3;4,,,,6,7,7,red variable obed vg color ad habit. send for mixed container,,
10287-035,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,,,,,,,,,,,,,
10287-048,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,,,,,,,,,,,,,
10287-070,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,3,10,5,3;4;6,,0,,6,5,6,bronze red heart frosting. pretty good color send,,
10287-074,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,1,10,4,3;4,,0,,5,7,7,il red big leaves. dark vg color. send,,
10287-077,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,2,11,5,3;4,,,,6,6,6,red heart good color some savoy. graft,,
10287-078,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,2;10,11,4,3;4,,,,6,5,6,red heart some teeth. okay color ebg.bgraft fir bw?,,
10287-082,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,2;4,11,3,3;4,,,,6,5,7,red heart vg Savoy pretty good color. graft and send,,
10287-105,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,12,11,5,3;4,,0,,5,6,6,red sc fat lobes. good color. open habit send for mixed container,,
10287-110,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,10,11,6,3;5,,0,,5,7,7,nice red bw. goid color but slight ebg. good teeth. send graft.,,
10287-134,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,10,11,6,3;4,,,,6,5,6,red bw. okay teeth. goid habit. color okay dark. graft. send,,
10287-144,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,12,10,4,4;6,,0,,6,6,7,red sc fat lobes vg color. send for containers,,
10287-148,DG,8818-076,8213-005,8818-076x8213-005,2019,HCRS,3,10,4,3;4,,,,4,7,6,nice bronze heart graft x to dark red hearts ,,
10310-007,DG,9142-002,9109-019,9142-002x9109-019,2019,HCRS,9,1,4,3;4,,0,,1,5,5,red tip lime. okay uniformity. send,,
10014-001,DG,8410-001,8698-005,8410-001x8698-005,2018,HCRS,2,10,3,3,,0,,4,4,5,light peach bronze heart. a little weak but good color,,
10017-002,DG,,,,2018,HCRS,4,1,3,3;4,,0,,6,4,5,be limee with vg teeth and savoy. fasciated here. x into lime savoy,,
10017-019,DG,8698-005,9412-010,8698-005x9412-010,2018,HCRS,4;10,6,4,3;4,,0,,5,5,6,bw purple with good Savoy. jim pick. ebg. half lime x to red or lime,,
10017-030,DG,8698-005,9412-010,8698-005x9412-010,2018,HCRS,4;10,6,4,3;4,,0,,4,4,5,half lime bw with good saoy. x into refs and savoy. send to pw,,
10018-002,DG,,,,2018,HCRS,,,,,,,,,,jim pick . green bw with savoy. half lime. do not keep. not enough savoy.,,,
10018-016,DG,8704-006,9412-010,8704-006x9412-010,2018,HCRS,10,6,4,3;4,,0,,6,3,4,half lime bw. x into refs. good teeth and plant habit.,,
10018-020,DG,8704-006,9412-010,8704-006x9412-010,2018,HCRS,,,,,,,,,,half lime bw,,,
10018-029,DG,8704-006,9412-010,8704-006x9412-010,2018,HCRS,,,,,,,,,,half lime bw,,,
10019-026,DG,8717-011,9234-022,8717-011x9234-022,2018,HCRS,10,5,4,3;4,,0,,5,5,5,half red half lime x into red bw. poor color good plant habit,,
10019-027,DG,,,,2018,HCRS,4;10,1,7,3;4,,0,,7,6,6,vigorous lime upright branched. spikey leaf. x into be and lobe,,
10020-001,DG,8720-025,9234-022,8720-025x9234-022,2018,HCRS,10,5,5,2;4,,4,,4,4,4,half red bw. very poor color vg teeth. x into good color. red hawk? drop vigor,,
10021-001,DG,8733-010,9224-007,8733-010x9224-007,2018,HCRS,4,10,3,2;4,,0,,3,4,4,red with saviy poor color good davoy. week breeding only,,
10021-002,DG,8733-010,9224-007,8733-010x9224-007,2018,HCRS,4;,10,6,3;4,,0,,5,4,5,jim pick. bronze heart some savoy.,,
10021-003,DG,8733-010,9224-007,8733-010x9224-007,2018,HCRS,4,5,4,3;4,,0,,5,4,4,red heart poor cilor good savoy. x into reds for savoy. breeding only,,
10025-043,DG,,,,2018,HCRS,10,2,5,3;5,,0,,7,8,5,green bw. Meri pick. very upright. half red half lime. x into rrds for habit,,
10026-016,DG,9412-010,8704-006,9412-010x8704-006,2018,HCRS,,,,,,,,,,half lime bw,,,
10026-028,DG,9412-010,8704-006,9412-010x8704-006,2018,HCRS,10,5,4,3;4,,0,,6,5,4,half lime. good teeth and habit. x onto reds. ,,
10027-008,DG,,,,2018,HCRS,2,0,5,3;4,,4,,6,5,6,vigorous yellow heart with some lobed leaves. slight washing here but excellent for group and field,,
10027-049,DG,,,,2018,HCRS,12,0,5,3;4,,0,,5,4,5,meri pick. yelloe green lobed not quite sc. meatball,,
10027-078,DG,,,,2018,HCRS,12,1,6,3;4,,0,,5,5,6,yellow sc. nice. good plsnt habit. very little bleaching. x into red sc. graft,,
10027-081,DG,,,,2018,HCRS,4,1,6,3;4,,0,,6,5,5,yellow spiky hastste.good uniformity for group and good vigor for yellow. x into reds or uniform lime,,
10027-086,DG,,,,2018,HCRS,3,1,6,3;4,,5,,5,5,6,small hesrt yellow green. some bleaching. nice habit. x to datk red heart,,
10028-006,DG,,,,2018,HCRS,10,1,6,3;4,,0,,7,4,5,light lime yellow bw good teeth and habit. Meri pick. x to red hearts and bw.,,
10028-107,DG,,,,2018,HCRS,2,1,4,3;4,,3,,5,5,4,big heart lime. some bleaching. good for this cross. x into dark red heart,,
10028-116,DG,,,,2018,HCRS,12,1,5,3;4,,0,,5,5,6,yellow lobed with good vigor. dome slight washing. vg for yellow. x into reds.,,
10030-005,DG,9124-021,8220-008,9124-021x8220-008,2018,HCRS,4,10,5,3;6,,6,,7,4,4,hastate red poor color. trailing.breeding only,,
10043-020,DG,9113-030,8967-011,9113-030x8967-011,2018,HCRS,1,11,6,2;4,,3,,5,5,5,illusion red meatball. dark ebg. good branching. good il leaf. poor color,,
10050-001,DG,9301-006,8948-001,9301-006x8948-001,2018,HCRS,4,11,5,3;4,,4,,5,5,5,red illusion type with extra lobing on either side of center lobe. very cool,,
10050-004,DG,9301-006,8948-001,9301-006x8948-001,2018,HCRS,1,11,6,3;4,,0,,5,6,6,illusion red good color but ebg. compact good habit. not too nmeatball. Meri pick. ,,
10052-001,DG,,,,2018,HCRS,4,1,4,6;4,,0,,7,6,5,lime lobed unique keaf. non sulfer background..sl virus. x into medusa or Africans,,
10052-002,DG,,,,2018,HCRS,4,1,6,3;4;6,,0,,7,6,6,repeat cross. 1/4 Beauregard. use for lobe group,,
10058-009,DG,6543-001,5565-004,6543-001x5565-004,2018,HCRS,4,6,5,3;4,,5,,6,4,5,vg savoy half red. x into red and lime Savoy. some leaves cupping,,
10061-002,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4,p3,5,3;4,,2,,4,5,6,very dark heart good saviu. some scorching ,,
10061-003,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4,6,3,2;4,,0,,4,4,5,jim pick davoy blue green frosting. thick stems,,
10061-013,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4,p2,4,3;4,,0,,4,6,6,purple with vg savoy. dark some spots and nrcroeis. ,,
10061-016,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4;3,p3,6,3;4;6,,3,,6,6,6,nicr purple heartveith daviy. good color. x to 7954-002,,
10061-023,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4,p4,3,3;4,,0,,6,6,7,very nive saviy dark okay savoy. send to pw backcross to 7954-002,,
10061-024,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4,p3,4,3;4,,4,,4,6,5,dark purple jeart with savoy. okay savoy. backcross to 7954-002,,
10061-026,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4,p1,4,3;4,,4,,5,4,5,heart purple heavy frosting. good savoy. send adv. to pw. x to 8954-002,,
10061-031,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4,o3,5,3;4,,0,,6,6,6,nice dark purple with savoy and teeth. x to 7954-002 for more savoy,,
10061-033,DG,6901-001,8544-020,6901-001x8544-020,2018,HCRS,4,p2,5,3;4,,0,,6,5,7,vg davoy purple. jim Meri Dominic pick. send to pw,,
10062-003,DG,7864-007,8573-006,7864-007x8573-006,2018,HCRS,4,p3,5,3;4,,0,,3,6,5,davoy purple dark fine savoy thin stems for savoy. ,,
10062-006,DG,7864-007,8573-006,7864-007x8573-006,2018,HCRS,4;2,p3 p4,5,3;5,,0,,5,6,6,very nice very dark purple heart with saviu. x into savoy for color,,
10068-008,DG,9063-012,8573-006,9063-012x8573-006,2018,HCRS,4,p2,5,3;4,,3,,5,5,5,savoy purple heart good savoy frosting. thin stems for savoy. breeding only,,
10068-013,DG,9063-012,8573-006,9063-012x8573-006,2018,HCRS,4,p4,4,3;4,,4,,5,7,6,very dark purple heart shiny. sone ssvoy. use for color breeding only.,,
10068-016,DG,9063-012,8573-006,9063-012x8573-006,2018,HCRS,4,p3,6,3;4,,3,,6,6,6,dark purple savoy. good savog. thinner stems. use fir color in savoy.,,
10068-035,DG,9063-012,8573-006,9063-012x8573-006,2018,HCRS,4,6,4,2;4,,3,,4,4,5,vg savoy purple heart. frosting. breeding only,,
10068-036,DG,9063-012,8573-006,9063-012x8573-006,2018,HCRS,4,p1,6,3;4,,5,,4,5,5,purp hesrt ebg good savoy breeding only,,
10071-013,DG,9330-008,5565-004 or 8753-006,9330-008x5565-004 or 8753-006,2018,HCRS,4,6,5,3;4,,3,,5,4,5,half red with vg savoy. long leaves. good look.,,
10071-029,DG,9330-008,5565-004 or 8753-006,9330-008x5565-004 or 8753-006,2018,HCRS,4,6,4,3;7,,3,,6,4,5,savoy sulfer poor color rough Savoy. half red,,
10071-038,DG,9330-008,5565-004 or 8753-006,9330-008x5565-004 or 8753-006,2018,HCRS,4,6,4,3;4,,3,,4,5,5,savoy poor color hastate to sulfer leaf. half red,,
10074-001,DG,,,,2018,HCRS,4,2,3,3,,5,,5,7,4,green davoy heart with teeth. half lime.thick stems flowering,,
10074-002,DG,,,,2018,HCRS,4,2,4,3;4,,5,,5,6,5,green heart good savoy. some teeth. half lime. thick stems,,
10074-003,DG,,,,2018,HCRS,4,2,4,3;4,,5,,5,7,5,savoy green with lobes half lime. flowering.,,
10075-001,DG,8059-024,8213-005,8059-024x8213-005,2018,HCRS,10;12,11,6,3;4,,0,,6,6,7,red with teeth and lobes no serirs fit. good color.  x into lobe on lobe? maybe sc and bw?,,
10075-004,DG,8059-024,8213-005,8059-024x8213-005,2018,HCRS,3,11,3,3+4,,0,,4,5,4,red heart with savoy. ebg. thick steme and poor habit. breeding only,,
10075-005,DG,8059-024,8213-005,8059-024x8213-005,2018,HCRS,1,11,6,3;5,,3,,6,5,5,nice tweener red slight ebg. vg plant habit. leaf a little slopy. breeding only,,
10076-008,DG,8818-076,8213-005,8818-076x8213-005,2018,HCRS,1;12,11,5,3;4,,0,,6,7,7,tweener red upright good color. very nice. send,,
10076-009,DG,8818-076,8213-005,8818-076x8213-005,2018,HCRS,3,11,5,3;4,,3,,5,5,4,small heart red. good plant habit. good initisl color but ebg. breeding only,,
10076-026,DG,8818-076,8213-005,8818-076x8213-005,2018,HCRS,3,11,5,3;4,,3,,5,5,6,red heart with thin stems. flowers x for Savoy and hearts,,
10076-036,DG,8818-076,8213-005,8818-076x8213-005,2018,HCRS,3,11,5,3;4,,0,,6,5,5,red hesrt good lnt habit good color but ebg. breeding only,,
10078-001,DG,8998-001,9117-016,8998-001x9117-016,2018,HCRS,4,11,3,3,,0,,5,4,5,red savoy variable lobes oor branching. okay Savoy.breeding only.,,
10079-010,DG,8998-003,8942-026,8998-003x8942-026,2018,HCRS,2,11,4,3;4,,0,,5,6,5,red heart/sulfer with good color. x into hearts. breeding only,,
10079-018,DG,8998-003,8942-026,8998-003x8942-026,2018,HCRS,12,12,5,3;4,,0,,6,6,6,sc rrd with good color. one or teo eaves sl8ght frosting. vg overall. x into tweeners and sc reds,,
10079-026,DG,8998-003,8942-026,8998-003x8942-026,2018,HCRS,12;1,11,4,3;4,,4,,5,7,6,red tweener. vg color very slight ebg on a couple leaves. nice. x to sc or il with more vigor or better plant habit,,
10084-013,DG,9045-003,6749-006,9045-003x6749-006,2018,HCRS,2,11,4,3;4,,0,,4,5,4,red heart ebg but good initial color. poor plant habit. breeding only,,
10084-019,DG,9045-003,6749-006,9045-003x6749-006,2018,HCRS,4,12,3,3;4,,0,,4,5,4,bronze savoy ref. poor color good savoy.,,
9670-002,DG,9088-006,OP,9088-006xOP,2018,HCRS,11,p2,5,3;4,,4,,6,6,6,purple crown type. Meri pick.,,
9671-034,DG,9088-020,OP,9088-020xOP,2018,HCRS,4,p1,5,6;4,,6,,7,4,4,lobed illusion with uright tips. send to pw for containers,,
9672-010,DG,9089-014,OP,9089-014xOP,2018,HCRS,1,p3,7,3;4,,0,,7,7,7,improvef mid lace. datk nice habit. check fertility. send,,
9672-028,DG,9089-014,OP,9089-014xOP,2018,HCRS,1,p3,5,3;5,,3,,5,6,6,putple illusion.purple tips open habit.,,
9672-030,DG,9089-014,OP,9089-014xOP,2018,HCRS,,,,,,,,,,,,,
9677-003,DG,,,,2018,HCRS,9,1,7,2;4,,0,,5,5,5,red tip lome. good tip distribution.needs lighter base.very well branched,,
9677-015,DG,,,,2018,HCRS,4,1,5,3;4;6,,6,,6,7,6,"lime sc small leaves. similar look to ""ivy"" leafed. check for seed x to iv6",,
9677-022,DG,,,,2018,HCRS,9,1,6,3;4,,3,,5,6,5,red tip lime good uniformity okay tips. nice tone. needs more darker tips,,
9677-024,DG,,,,2018,HCRS,6,2,4,3,,6,,4,4,4,lome with deep lobes 3-5. white flowers lots of buds. slight savoy. color not great. breeding only for flowers,,
